2019-07-08 11:35:04 Connecting to server: https://goprint:7773
2019-07-08 11:35:05 Self-signed SSL certificate accepted
2019-07-08 11:35:05 Self-signed SSL certificate accepted
2019-07-08 11:35:41 Self-signed SSL certificate accepted
2019-07-08 11:36:16 Self-signed SSL certificate accepted
2019-07-08 11:36:51 Self-signed SSL certificate accepted
2019-07-08 11:37:26 Self-signed SSL certificate accepted
2019-07-08 11:38:02 Self-signed SSL certificate accepted
2019-07-08 11:38:37 Self-signed SSL certificate accepted
2019-07-08 11:39:12 Self-signed SSL certificate accepted
2019-07-08 11:39:47 Self-signed SSL certificate accepted
2019-07-08 11:40:22 Self-signed SSL certificate accepted
2019-07-08 11:40:58 Self-signed SSL certificate accepted
